location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
142 Kings Court,,52,,,
142 Kings Court,,52,,,
142 Kings Court,,52,,,
142 Kings Court,,52,,,
142 Kings Court,,52,,,
402 Lauder College House,,48,,,
1409 Harrison,14,23,,,
1409 Harrison,,52,,,
1409 Harrison,14,23,,,
1409 Harrison,,52,,,
263F Stouffer,,52,,,
513 Lauder College House,,48,,,
1107 Harnwell,11,10,,11,
1107 Harnwell,,52,,,
1107 Harnwell,11,10,,11,
1107 Harnwell,,52,,,
1107 Harnwell,11,10,,11,
1107 Harnwell,,52,,,
903 Harnwell,9,9,,10,
903 Harnwell,,52,,,
903 Harnwell,9,9,,10,
903 Harnwell,,52,,,
,,52,,,
177 Hill,,29,,,
1212 Harnwell,12,11,,,
1212 Harnwell,,52,,,
1212 Harnwell,12,11,,,
1212 Harnwell,,52,,,
506 English House,,52,,,
506 English House,,52,,,
,,52,,,
,,52,,,
2407 Rodin,24,44,,,
2407 Rodin,,52,,,
417 Du Bois,,52,,,
236 Hill,,29,,,
416 English House,,52,,,
,,52,,,
,,52,,,
1809 Harrison,18,25,,,
1809 Harrison,,52,,,
1809 Harrison,18,25,,,
1809 Harrison,,52,,,
1809 Harrison,18,25,,,
1809 Harrison,,52,,,
101 Kings Court,,52,,,
413 Lauder College House,,48,,,
313 Harrison,3,49,,18,
313 Harrison,,52,,,
313 Harrison,3,49,,18,
313 Harrison,,52,,,
313 Harrison,3,49,,18,
313 Harrison,,52,,,
2309 Harrison,23,27,,28,
2309 Harrison,,52,,,
2309 Harrison,23,27,,28,
2309 Harrison,,52,,,
2309 Harrison,23,27,,28,
2309 Harrison,,52,,,
913 Harrison,9,20,,21,
913 Harrison,,52,,,
913 Harrison,9,20,,21,
913 Harrison,,52,,,
913 Harrison,9,20,,21,
913 Harrison,,52,,,
712 Mayer Hall,,31,,,
254 Hill,,29,,,
521 Lauder College House,,48,,,
310 Hill,,29,,,
202 Van Pelt,,50,,,
2114 Harrison,21,26,,27,
2114 Harrison,,52,,,
2114 Harrison,21,26,,27,
2114 Harrison,,52,,,
2114 Harrison,21,26,,27,
2114 Harrison,,52,,,
217 English House,,52,,,
,,52,,,
407 Kings Court,,52,,,
407 Kings Court,,52,,,
704 Harrison,7,19,,20,
704 Harrison,,52,,,
704 Harrison,7,19,,20,
704 Harrison,,52,,,
704 Harrison,7,19,,20,
704 Harrison,,52,,,
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
